ASSET_ID,ASSET_NAME,MODEL,QUANTITY,PRICE,TOTAL_PRICE,REG_DATE
1,computer,toshiba icore 5,6,5000,15000,2017-03-11
2,computer,toshiba icore 5,0,2500,15000,2017-03-11
3,pc,dell,1,6500,260000,2017-03-11
4,df,hr34-sjdh,24,2000,48000,2017-03-11
5,pc,fer145,25,100,2500,2017-03-11
6,table,,31,745,23095,2017-03-13
7,tv,lgo,22,4500,108000,2017-03-14
8,desctop,dell,0,5500,137500,2017-03-16
9,desctop,dell,0,5100,25500,2017-03-16
10,computer,hp,-15,5500,440000,2017-03-20
11,computer,hp,0,4500,45000,2017-03-20
12,computer,hp,0,5000,25000,2017-03-22
13,computer,hp,0,3500,10500,2017-03-22
14,computer,hp,0,2100,42000,2017-03-22
15,computer,toshiba icore 5,0,1100,1100,2017-03-22
16,table,smooth,0,500,1500,2017-03-22
17,table,smooth,4,5100,20400,2017-03-22
18,table,smooth,0,750,9000,2017-03-22
