ASSET_ID,ASSET_NAME,MODEL,SERIAL,QUANTITY,PRICE,TOTAL_PRICE,REG_DATE
20,computer,dell,,11,1200,13200,2017-06-19
21,computer,dell,,11,1200,13200,2017-06-19
22,computer,dell,,11,1200,13200,2017-06-19
23,rj 45,,,15,10,0,2017-03-24
24,rj 45,,,2,15,0,2017-03-24
25,computer,dell,,11,1200,13200,2017-06-19
26,abc,true,,2,1200,2400,2017-03-27
27,door,seregela,,2,25100,50200,2017-03-27
28,computer,dell,,11,1200,13200,2017-06-19
29,frr,ghvh,,5,1200,6000,2017-03-29
30,ftyghujil,fghgj,,5,120,600,2017-03-29
31,ftgyjk,hfgj,,5,210,1050,2017-03-29
32,whiteboard,board,,25,1500,37500,2017-05-01
33,computer,dell,,11,1200,13200,2017-06-19
34,computer,dell,,11,1200,13200,2017-06-19
35,computer,dell,,11,1200,13200,2017-06-19
36,computer,dell,,11,1200,13200,2017-06-19
37,computer,dell,,11,1200,13200,2017-06-19
38,computer,dell,,11,1200,13200,2017-06-19
39,computer,dell,,11,1200,13200,2017-06-19
40,computer,dell,,11,1200,13200,2017-06-19
41,computer,dell,,11,1200,13200,2017-06-19
42,computer,dell,,11,1200,13200,2017-06-19
43,computer,dell,,11,1200,13200,2017-06-19
44,window,big,,11,1100,12100,2017-06-02
45,window,big,,11,1100,12100,2017-06-02
46,rj,,,5,25,125,2017-06-02
47, ᜞ማ,ሆራይዘᚕ,,2,4500,9000,2017-06-07
48,computer,dell,,11,1200,13200,2017-06-19
49,chair,class,,0,50,0,2017-06-17
50,chair,class,,3,60,180,2017-06-18
51,COMPUTER,Dell, ,11,1200,13200,2017-06-19
52,COMPUTER,Dell, ,11,1200,13200,2017-06-19
53,COMPUTER,Dell, ,11,1200,13200,2017-06-19
54,COMPUTER,Dell, ,11,1200,13200,2017-06-19
55,COMPUTER,Dell, ,11,1200,13200,2017-06-19
56,COMPUTER,Dell, ,11,1200,13200,2017-06-19
57,COMPUTER,Dell, ,11,1200,13200,2017-06-19
58,COMPUTER,Dell, ,11,1200,13200,2017-06-19
59,COMPUTER,Dell, ,11,1200,13200,2017-06-19
60,COMPUTER,Dell, ,11,1200,13200,2017-06-19
61,COMPUTER,Dell, ,11,1200,13200,2017-06-19
62,tv,lgo, ,24,300,7200,17-06-19
63,computer,dell, ,11,1200,13200,2017-06-19
64,tv,lgo, ,3,300,900,42799
65,computer,dell, ,11,1200,13200,2017-06-19
66,tv,lgo, ,3,300,900,42799
67,computer,dell,,2,3555,7110,2017-06-19
